,listing_id,accessories_vectors,years of warranty,better loan offer,well maintained,low fuel consumption,reg_date,power,engine_cap,mileage,no_of_owners,depreciation,coe,dereg_value,omv,arf,type_of_vehicle_bus/mini bus,type_of_vehicle_hatchback,type_of_vehicle_luxury sedan,type_of_vehicle_mid-sized sedan,type_of_vehicle_mpv,type_of_vehicle_others,type_of_vehicle_sports car,type_of_vehicle_stationwagon,type_of_vehicle_suv,type_of_vehicle_truck,type_of_vehicle_van,fuel_type_diesel,fuel_type_electric,fuel_type_petrol,fuel_type_petrol-electric,transmission,make,model,price
0,1030324,"[1, 2, 3, 6, 7]",0,1,1,0,8,135.0,1997.0,73000.0,1.0,17700.0,77100.0,47514.0,45330.0,50462.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,bmw,320i,71300.0
1,1021510,"[2, 6]",0,1,0,1,6,134.00029172744402,2982.0,110112.0,3.0,11630.0,10660.0,3648.0,27502.0,1376.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,toyota,hiace,43800.0
2,1026909,"[2, 6, 7, 10]",0,0,0,1,5,90.0,1595.0,80000.0,1.0,15070.0,53694.0,44517.0,27886.0,26041.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,mercedes-benz,cla180,95500.0
3,1019371,"[2, 3, 6, 7]",3,1,1,0,1,115.0,1497.0,9800.0,1.0,16400.0,40690.0,80301.0,46412.0,56977.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,mercedes-benz,e180,197900.0
4,1031014,"[4, 6, 9]",0,1,1,0,2,92.0,1597.0,40000.0,1.0,10450.0,26667.0,36453.0,20072.0,20101.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,honda,civic,103200.0
5,1027957,"[2, 6]",0,0,0,0,1,225.0,1991.0,66000.0,1.0,23023.75,10.0,80483.0,34000.0,39600.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,mercedes-benz,a35,273800.0
6,1012998,"[2, 6, 7, 9, 10]",0,1,0,0,6,90.0,1498.0,77777.0,3.0,11020.0,56001.0,37311.0,22809.0,18933.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,volvo,v40,62500.0
7,1011676,[6],0,1,0,0,0,375.0,3982.0,31787.0,1.0,25171.41414141414,62100.0,99477.75157894735,53386.0,68095.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,mercedes-benz,amg,367300.0
8,991798,[6],0,0,0,1,10,90.0,1598.0,66000.0,2.0,6280.0,42283.0,40951.0,15263.0,15263.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,toyota,corolla,66900.0
9,985245,[6],0,1,0,1,5,100.0,1499.0,111199.0,2.0,12640.0,56889.0,50999.0,29860.0,28804.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,bmw,318i,87800.0
10,1004029,"[4, 6, 9, 10]",0,1,0,0,4,95.3,1591.0,66000.0,1.0,8270.0,42801.0,35227.0,12900.0,12900.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,kia,cerato,61400.0
11,1027570,"[2, 6, 10]",0,1,1,1,12,88.0,1497.0,112000.0,2.0,6370.0,25727.0,19292.0,20387.0,20387.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,honda,city,52600.0
12,983829,"[3, 4, 6]",0,1,0,0,2,93.8,1591.0,27000.0,1.0,8390.0,33009.0,41097.0,18272.0,18272.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,hyundai,avante,86700.0
13,1021049,[6],0,0,0,0,0,430.0,3982.0,238.0,1.0,67410.0,49489.0,351493.0,241799.0,407239.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,mercedes-benz,amg,921800.0
14,1020443,"[5, 6]",0,0,0,0,6,134.00029172744402,2953.0,190363.0,1.0,8610.0,46801.0,19579.0,24362.0,1219.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,nissan,cabstar,39600.0
15,1026971,[6],0,1,1,0,13,125.0,2362.0,228000.0,5.0,7640.0,37906.0,25703.0,28865.0,28865.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,toyota,estima,57000.0
16,1028186,[6],0,0,0,0,5,88.0,1496.0,68791.0,1.0,9120.0,50951.0,38496.0,20569.0,15797.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,mazda,3,61100.0
17,1029277,"[2, 3, 6, 7]",0,1,1,1,5,134.0,2494.0,79000.0,2.0,19120.0,51010.0,63194.0,45427.0,55598.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,toyota,alphard,130700.0
18,961740,"[6, 10]",0,0,0,0,17,380.0,5748.0,55584.0,4.0,141810.0,66834.0,19794.0,259435.0,285379.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,ferrari,575m,462000.0
19,1018033,[6],0,0,0,0,8,134.00029172744402,1461.0,66000.0,2.0,11480.0,57051.0,8847.0,20293.0,1015.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,nissan,nv200,19600.0
20,1016319,[6],0,1,1,0,12,147.0,1984.0,117000.0,3.0,8850.0,37502.0,30433.0,30382.0,25271.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,volkswagen,scirocco,79000.0
21,1023603,"[6, 9]",0,1,0,0,11,175.0,2967.0,66000.0,4.0,9160.0,37502.0,30711.0,54019.0,54019.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,jaguar,xf,82500.0
22,1010285,"[4, 6, 7, 10]",0,1,1,1,8,103.0,1395.0,77000.0,3.0,12270.0,73100.0,22855.0,25397.0,12556.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,volkswagen,golf,35200.0
23,1013431,[6],0,0,1,0,6,134.00029172744402,2982.0,66000.0,1.0,10620.0,8132.0,3353.0,31494.0,1575.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,toyota,dyna,48200.0
24,1028230,"[2, 6, 7]",3,1,0,1,1,96.0,1199.0,11000.0,1.0,8600.0,37334.0,41780.0,20121.0,10170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,opel,corsa,92200.0
25,993484,"[2, 4, 6, 7]",0,1,0,0,3,97.0,1496.0,59900.0,1.0,10100.0,39903.0,33126.0,18656.0,8656.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,honda,shuttle,79000.0
26,1029724,"[2, 4, 6]",0,1,1,0,11,81.0,1496.0,115000.0,5.0,8760.0,16438.0,12304.0,19083.0,19083.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,toyota,premio,36100.0
27,1030359,"[2, 4, 6, 7, 9, 10]",0,0,0,0,1,100.0,1499.0,11000.0,1.0,14330.0,30890.0,57659.0,33658.0,39122.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,mini,cooper,166000.0
28,1030764,[6],0,1,1,0,11,103.0,1995.0,150000.0,4.0,7280.0,33568.0,29411.0,19387.0,19387.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,suzuki,grand,70200.0
29,978360,[6],0,0,0,0,0,495.0,2085.356363200192,82.0,1.0,48960.0,47001.0,170335.0,133421.0,167158.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,porsche,taycan,607200.0
30,1023295,"[2, 4, 6]",0,1,1,0,15,103.0,1799.0,66000.0,5.0,8300.0,46048.0,21586.0,21276.0,23404.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,honda,civic,42800.0
31,1013096,"[2, 4, 6, 10]",0,1,0,0,12,81.0,1496.0,141000.0,3.0,8380.0,12864.0,6386.0,13937.0,13937.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,honda,airwave,22900.0
32,1016913,"[6, 10]",0,0,0,1,0,185.0,1998.0,7838.0,1.0,23760.0,45510.0,101305.0,59276.0,78697.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,bmw,x4,289100.0
33,995374,"[2, 3, 5, 6]",0,1,0,0,2,112.0,1496.0,18300.0,1.0,10460.0,40101.0,46021.0,27213.0,20099.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,honda,vezel,106600.0
34,1009563,"[2, 4, 6, 7, 8]",0,1,0,0,5,88.0,1496.0,47500.0,1.0,10010.0,53694.0,33798.0,16296.0,11296.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,mazda,3,59300.0
35,1011233,"[2, 4, 6, 7]",0,1,0,0,0,134.0,2493.0,88.0,1.0,19390.0,58001.0,93345.0,51972.0,65550.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,toyota,alphard,246200.0
36,1020510,"[4, 6, 8]",0,0,0,0,10,408.0,4395.0,57756.0,4.0,16880.0,42780.75,88406.5,114831.0,114831.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,bmw,x6,185800.0
37,1022036,[6],0,1,0,0,12,79.0,1584.0,66000.0,5.0,8130.0,13024.0,6344.0,11669.0,11669.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,mitsubishi,lancer,21800.0
38,1020120,[6],0,1,0,1,10,220.0,3598.0,90000.0,2.0,15550.0,52971.79310344828,91167.23809523808,74718.0,74718.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,porsche,cayenne,171100.0
39,1010302,[6],0,1,0,1,0,101.0,1496.0,66000.0,1.0,12080.0,60001.0,71057.0,28477.0,16868.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,honda,freed,138600.0
40,1015605,"[2, 6]",0,0,0,0,6,147.0,2494.0,97015.0,2.0,17870.0,65501.0,64156.0,51157.0,59083.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,lexus,nx,109800.0
41,1019244,[6],0,0,0,0,13,92.0,1595.0,66000.0,3.0,7160.0,19637.0,6198.0,18850.0,20735.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,honda,civic,12400.0
42,953072,"[6, 8]",0,1,0,0,1,134.00029172744402,2998.0,652.0,1.0,39940.0,45012.0,154546.0,98984.0,150172.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,bmw,740li,491700.0
43,1021840,"[2, 6]",0,1,0,0,5,112.0,1496.0,66000.0,2.0,10280.0,57010.0,40330.0,25911.0,18276.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,honda,vezel,64700.0
44,1017493,[6],0,0,0,0,10,180.0,1997.0,66000.0,3.0,10550.0,67490.91891891892,55553.62162162162,52394.0,52394.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,bmw,528i,116100.0
45,1028855,[6],0,0,0,0,9,515.0,6498.0,67000.0,6.0,62960.0,53932.0,52942.0,373084.0,373084.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,lamborghini,aventador,679800.0
46,1026268,[6],0,1,1,0,13,309.0,4163.0,99742.0,6.0,25750.0,50451.0,31114.0,139214.0,139214.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,audi,r8,174700.0
47,1029034,"[2, 4, 6]",0,0,0,1,16,120.0,1796.0,143000.0,3.0,8110.0,59798.0,25656.0,57408.0,63149.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,mercedes-benz,e200,38300.0
48,986421,"[6, 8]",0,0,0,0,5,390.0,5980.0,60500.0,2.0,59200.0,56956.0,288500.0,207704.0,345868.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,mercedes-benz,maybach,525800.0
49,1016410,"[2, 6, 9]",0,1,1,1,5,73.0,1318.0,110000.0,2.0,9180.0,55200.0,36254.0,16398.0,11398.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,honda,jazz,57000.0
50,1008232,"[2, 4, 5, 6, 10]",0,1,0,0,6,90.0,1390.0,127000.0,3.0,9940.0,57089.0,38748.0,21568.0,22196.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,volkswagen,jetta,56700.0
51,1028659,"[3, 6]",0,1,0,0,0,80.0,1499.0,41.0,1.0,11860.0,48510.0,74135.0,31169.0,35637.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,bmw,216i,147100.0
52,1015232,"[2, 6]",0,0,0,0,1,120.0,1332.0,9700.0,1.0,17260.0,39000.0,69090.0,36865.0,43611.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,mercedes-benz,glb200,201100.0
53,976780,"[2, 4, 6, 10]",0,1,1,0,6,97.0,1591.0,102016.0,1.0,8730.0,57301.0,32833.0,12771.0,12771.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,hyundai,elantra,47100.0
54,1006097,[6],0,1,1,0,14,162.0,1998.0,66000.0,6.0,13140.0,52491.0,30272.0,25564.0,28121.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,honda,accord,83400.0
55,965217,"[2, 6]",0,0,0,0,11,150.0,2497.0,58000.0,4.0,13720.0,35416.0,30467.0,41849.0,41849.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,bmw,z4,129800.0
56,1008845,"[2, 5, 6, 7]",0,1,0,0,6,151.0,2494.0,66000.0,1.0,14970.0,57885.0,54860.0,41506.0,45109.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,lexus,es,91100.0
57,1023935,"[6, 10]",0,0,0,1,9,100.0,1598.0,67000.0,2.0,27010.0,56501.0,17432.0,27217.0,27217.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,bmw,116i,35100.0
58,1017070,"[2, 3, 6, 7, 10]",0,1,0,1,5,105.0,1798.0,58000.0,1.0,11130.0,56410.0,44269.0,19955.0,19955.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,toyota,wish,74600.0
59,1029304,"[1, 6, 8, 10]",0,1,0,0,4,106.0,1997.0,81900.0,1.0,11100.0,52807.0,46716.0,23227.0,24518.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,nissan,x-trail,79000.0
60,977627,[6],0,0,0,0,5,90.0,1598.0,121496.0,2.0,8810.0,45000.0,34203.0,19589.0,19589.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,toyota,corolla,54900.0
61,1023010,"[2, 6, 8]",5,1,1,0,0,287.0,2996.0,9000.0,1.0,28940.0,49300.0,128014.0,76153.0,109076.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,mercedes-benz,amg,358400.0
62,1021055,"[2, 4, 6, 8, 10]",0,1,1,0,4,66.0,1197.0,77368.0,1.0,8530.0,42902.0,31848.0,17610.0,7610.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,volkswagen,polo,61400.0
63,953205,"[2, 4, 6, 7, 10]",0,0,0,0,6,92.0,1395.0,79000.0,2.0,12800.0,62002.0,31572.0,27192.0,15069.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,audi,a3,57800.0
64,1010167,"[4, 5, 6, 7, 10]",0,1,0,0,2,77.0,1197.0,56392.0,1.0,10880.0,25920.0,34563.0,20093.0,20131.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,volkswagen,beetle,101000.0
65,1019334,[6],0,1,1,0,10,316.0,4163.0,42000.0,4.0,25760.0,53932.0,53134.0,159977.0,159977.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,audi,r8,279200.0
66,1028848,"[4, 6, 9]",0,1,0,0,11,155.0,1984.0,122000.0,3.0,9890.0,33568.0,29466.0,47399.0,47399.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,audi,a5,95500.0
67,1003551,"[6, 7, 10]",0,1,1,0,11,93.0,1597.0,106000.0,2.0,7330.0,16438.0,12016.0,14128.0,14128.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,proton,exora,29500.0
68,1006128,[6],0,1,0,0,2,134.00029172744402,2982.0,66000.0,1.0,9190.0,24651.0,18998.0,28136.0,1407.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,toyota,hiace,77900.0
69,985788,"[2, 4, 6, 9, 10]",0,1,0,1,3,96.0,1496.0,41232.0,1.0,9350.0,34110.0,37769.0,19096.0,19096.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,honda,hr-v,81200.0
70,1026578,"[2, 6, 7]",0,1,0,0,10,115.0,1597.0,99000.0,2.0,7990.0,46896.0,46331.0,31019.0,31019.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,mercedes-benz,c180,86800.0
71,1006949,"[4, 6]",0,1,0,1,5,96.0,1496.0,45000.0,1.0,9610.0,52668.0,42973.0,23772.0,20281.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,honda,hr-v,66900.0
72,965500,"[3, 6, 8]",0,1,0,1,2,103.6,1580.0,66000.0,1.0,10290.0,48010.0,52328.0,27279.0,20191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,hyundai,ioniq,98800.0
73,1029145,[6],0,0,0,0,0,134.00029172744402,2982.0,66000.0,2.0,9440.0,39589.0,37723.0,29353.0,1468.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,toyota,hiace,98900.0
74,1017034,[6],0,0,1,1,6,86.0,1586.0,48200.0,1.0,10450.0,55399.0,35425.0,17108.0,17108.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,suzuki,sx4,58100.0
75,1030771,"[6, 10]",0,1,1,0,11,80.0,1499.0,66000.0,1.0,7950.0,25525.0,19273.0,18083.0,18083.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,mitsubishi,lancer,66000.0
76,990220,[6],5,0,0,0,0,155.0,1991.0,8.0,1.0,25171.41414141414,10.0,99477.75157894735,51000.0,63800.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,mercedes-benz,amg,247400.0
77,988530,"[6, 10]",0,1,1,1,10,93.0,1597.0,150738.0,1.0,7030.0,21142.0,19798.0,14169.0,14169.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,proton,exora,36200.0
78,1023832,"[4, 6]",0,0,0,0,10,449.0,5998.0,66000.0,5.0,19590.0,38216.0,171520.04,185878.0,185878.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,bentley,continental,198000.0
79,1022283,"[2, 4, 6, 7, 10]",0,0,0,1,5,96.0,1498.0,62118.0,2.0,9750.0,43000.0,27367.0,16259.0,11259.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,honda,jazz,54800.0
80,1005248,"[2, 6]",0,1,1,1,5,134.00029172744402,2488.0,99000.0,2.0,8950.0,41444.0,21676.0,24687.0,1235.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,nissan,nv350,51500.0
81,1021912,[6],0,0,0,0,4,134.00029172744402,2982.0,66000.0,2.0,8960.0,35586.0,22151.0,31917.0,1596.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,toyota,hiace,61400.0
82,1015807,[6],0,1,1,0,11,80.0,1497.0,105000.0,3.0,6880.0,17600.0,14736.0,12116.0,12116.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,toyota,vios,31700.0
83,1028531,"[2, 4, 5, 6]",0,1,0,0,14,108.0,1998.0,66000.0,1.0,7440.0,48479.0,23336.0,28129.0,30942.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,toyota,camry,39400.0
