index,Model Name,Price for New Car,is_new
0,bmw 320i,243888,
1,toyota hiace,75000,
2,mercedes-benz cla180,170800,
3,mercedes-benz e180,240888,Past
4,honda civic,133099,
5,mercedes-benz a35,167000,
6,volvo v40,129000,Past
7,mercedes-benz amg,167000,
8,toyota corolla,110000,
9,bmw 318i,243888,
10,kia cerato,102999,
11,honda city,109999,
12,hyundai avante,105999,
13,nissan cabstar,70800,
14,toyota estima,-1,Past
15,mazda 3,104888,
16,toyota alphard,217000,
17,ferrari 575m,-1,Past
18,nissan nv200,57000,
19,volkswagen scirocco,118400,Past
20,jaguar xf,290999,
21,volkswagen golf,155400,
22,toyota dyna,83000,
23,opel corsa,90888,Past
24,honda shuttle,92800,
25,toyota premio,-1,Past
26,mini cooper,194888,
27,suzuki grand,77900,Past
28,porsche taycan,345858,
29,honda airwave,-1,Past
30,bmw x4,250000,
31,honda vezel,109000,
32,bmw x6,429888,
33,mitsubishi lancer,52988,Past
34,porsche cayenne,350988,
35,honda freed,119000,
36,lexus nx,211000,Past
37,bmw 740li,412000,
38,bmw 528i,298800,Past
39,lamborghini aventador,1498000,
40,audi r8,691019,
41,mercedes-benz e200,235800,
42,mercedes-benz maybach,995000,
43,honda jazz,108999,
44,volkswagen jetta,105800,Past
45,bmw 216i,167888,Past
46,mercedes-benz glb200,114999,
47,hyundai elantra,127888,Past
48,honda accord,192899,
49,bmw z4,270000,
50,lexus es,283800,
51,bmw 116i,164888,
52,toyota wish,65988,Past
53,nissan x-trail,80000,Past
54,volkswagen polo,115400,
55,audi a3,187635,
56,volkswagen beetle,129900,Past
57,audi a5,248062,
58,proton exora,102999,Past
59,honda hr-v,102999,Past
60,mercedes-benz c180,252888,
61,hyundai ioniq,120999,
62,suzuki sx4,59500,Past
63,bentley continental,880000,
64,nissan nv350,68800,
65,toyota vios,104888,
66,toyota camry,150000,
67,bmw 530i,255000,
68,mazda 2,96888,
69,toyota previa,106488,Past
70,bmw 316i,163888,Past
71,audi rs,424000,
72,bmw 523i,173800,Past
73,mercedes-benz 250,174888,
74,volkswagen caddy,73100,Past
75,citroen c4,129999,
76,opel mokka,135888,Past
77,nissan latio,56500,Past
78,bmw x1,207000,
79,bmw x3,264888,
80,maserati quattroporte,428800,
81,bmw x5,407888,
82,mercedes-benz s350,350000,
83,mercedes-benz vito,-1,Past
84,lexus is,232800,
85,alfa romeo giulia,248000,
86,citroen berlingo,73000,
87,jaguar xe,252999,
88,nissan qashqai,137800,Past
89,lexus gs,259000,Past
90,mercedes-benz a200,167000,
91,kia sorento,191999,
92,toyota land,248000,
93,suzuki swift,95900,
94,bmw 420i,263000,
95,audi a1,155584,
96,toyota sienta,97088,
97,mercedes-benz s300l,271888,Past
98,fiat doblo,41000,Past
99,mercedes-benz a45,167000,
100,bmw 520i,255000,
101,mitsubishi attrage,82999,
102,honda stream,73000,Past
103,mercedes-benz gla180,147000,
104,"mercedes-benz g350422,888",-1,Past
105,mercedes-benz b180,171888,
106,nissan sylphy,120800,Past
107,mercedes-benz cla200,179888,
108,bmw 535i,298800,Past
109,mitsubishi evolution,142988,Past
110,ferrari 599,1150000,Past
111,mercedes-benz a250,174888,
112,maserati granturismo,471000,
113,honda mobilio,106999,Past
114,honda fit,87988,
115,toyota harrier,165988,
116,toyota c-hr,153000,
117,porsche 911,486788,
118,tesla model,113245,
119,hino xzu710r,96000,
120,honda n-box,97000,
121,audi a6,235000,
122,bmw 116d,127888,Past
123,mercedes-benz coupe,170800,
124,mitsubishi eclipse,-1,Past
125,nissan note,89000,
126,mitsubishi fuso,80000,
127,skoda octavia,63900,
128,mini one,133888,
129,mercedes-benz s400l,406888,Past
130,land rover discovery,269999,
131,hyundai santa,195999,
132,porsche panamera,388388,
133,audi a7,338046,
134,rolls-royce ghost,1200000,
135,toyota vellfire,212000,
136,hino sh1eeka,-1,Past
137,honda e,76000,
138,volvo s60,216000,
139,ferrari f612s,-1,Past
140,mclaren 720s,1025000,
141,mercedes-benz viano,128988,Past
142,mitsubishi fe83,-1,Past
143,bmw 520d,250000,
144,bmw m4,381888,
145,mitsubishi outlander,139999,
146,ssangyong tivoli,119888,
147,audi a4,230013,
148,mercedes-benz sprinter,-1,Past
149,hyundai starex,50999,Past
150,toyota voxy,170000,
151,hyundai veloster,98999,Past
152,lamborghini gallardo,-1,Past
153,audi q3,207890,
154,citroen c5,151999,
155,porsche macan,260888,
156,bmw 330ci,199000,Past
157,volvo s90,235000,
158,renault megane,233999,
159,peugeot 3008,129888,
160,volvo xc40,247000,
161,fiat fiorino,-1,Past
162,maserati levante,358800,
163,nissan almera,91300,Past
164,bmw 330i,131800,Past
165,toyota prius,145000,
166,kia stinger,214999,
167,mercedes-benz e250,284888,Past
168,mercedes-benz v260l,-1,Past
169,mclaren 570s,698000,Past
170,mercedes-benz e230,164888,Past
171,mercedes-benz clc180k,-1,Past
172,kia picanto,37999,Past
173,bentley mulsanne,1200000,Past
174,peugeot 5008,146888,
175,bmw 216d,144888,Past
176,subaru levorg,131800,Past
177,subaru legacy,90400,Past
178,toyota picnic,85988,Past
179,isuzu fxz77m,-1,Past
180,mclaren 12c,998000,Past
181,audi q5,245000,
182,audi q2,193949,
183,lexus rx,319800,
184,subaru forester,162800,
185,opel combo,90500,
186,honda jade,115999,Past
187,bmw 428i,242888,Past
188,mercedes-benz r280l,244888,Past
189,opel zafira,96888,Past
190,peugeot partner,93388,
191,subaru impreza,140800,
192,mercedes-benz gla200,185888,
193,kia seltos,140999,
194,toyota esquire,180000,
195,mitsubishi space,83999,
196,kia rio,90999,Past
197,mercedes-benz 300ce,-1,Past
198,bmw 530e,277000,
199,mercedes-benz 230,139888,Past
200,subaru xv,142800,
201,volkswagen tiguan,179900,
202,nissan pulsar,108300,Past
203,mercedes-benz a180,147000,
204,bmw 225xe,178888,Past
205,peugeot 308,77900,Past
206,hyundai accent,47999,Past
207,bmw 340i,376888,
208,bentley flying,974000,
